      IRop|    Basety|    result|      arg1|      arg2|
     Label|   unknown|       L20|          |          |
   L_Alloc|       int|       %13|          |          |
       ADD|       int|       %13|        ^8|        #1|
    ASSIGN|       int|        ^5|       %13|          |
         J|   unknown|       L19|          |          |
     Label|   unknown|       L21|          |          |
   L_Alloc|       int|       %14|          |          |
       SUB|       int|       %14|        ^8|        #1|
    ASSIGN|       int|        ^6|       %14|          |
     Label|   unknown|       L19|          |          |
     Label|   unknown|       L15|          |          |
         J|   unknown|       L11|          |          |
     Label|   unknown|       L12|          |          |
       BGE|       int|       L24|        ^7|        #0|
     Label|   unknown|       L25|          |          |
         J|   unknown|       L23|          |          |
     Label|   unknown|       L24|          |          |
   L_Alloc|       int|       %15|          |          |
       MUL|       int|       %15|        ^1|     #1064|
   L_Alloc|       int|       %16|          |          |
       MUL|       int|       %16|        ^3|        #4|
       ADD|       int|       %15|       %15|       %16|
   L_Alloc|       int|       %17|          |          |
       MUL|       int|       %17|        ^7|     #1064|
   L_Alloc|       int|       %18|          |          |
       MUL|       int|       %18|        ^1|        #4|
       ADD|       int|       %17|       %17|       %18|
   L_Alloc|       int|       %19|          |          |
       ADD|       int|       %19|    @0<%17|        #1|
    ASSIGN|       int|    @0<%15|       %19|          |
   L_Alloc|       int|       %20|          |          |
       MUL|       int|       %20|        ^1|     #1064|
   L_Alloc|       int|       %21|          |          |
       MUL|       int|       %21|        ^3|        #4|
       ADD|       int|       %20|       %20|       %21|
       BLT|       int|       L27|    @0<%20|        #3|
     Label|   unknown|       L28|          |          |
         J|   unknown|       L26|          |          |
     Label|   unknown|       L27|          |          |
   L_Alloc|       int|       %22|          |          |
       MUL|       int|       %22|        ^1|     #1064|
   L_Alloc|       int|       %23|          |          |
       MUL|       int|       %23|        ^3|        #4|
       ADD|       int|       %22|       %22|       %23|
    ASSIGN|       int|    @0<%22|        #3|          |
     Label|   unknown|       L26|          |          |
   L_Alloc|       int|       %24|          |          |
       MUL|       int|       %24|        ^1|     #1064|
   L_Alloc|       int|       %25|          |          |
       MUL|       int|       %25|        ^3|        #4|
       ADD|       int|       %24|       %24|       %25|
       BGT|       int|       L30|    @0<%24|        ^2|
     Label|   unknown|       L31|          |          |
         J|   unknown|       L29|          |          |
     Label|   unknown|       L30|          |          |
   L_Alloc|       int|       %26|          |          |
       MUL|       int|       %26|        ^1|     #1064|
   L_Alloc|       int|       %27|          |          |
       MUL|       int|       %27|        ^3|        #4|
       ADD|       int|       %26|       %26|       %27|
    ASSIGN|       int|        ^2|    @0<%26|          |
     Label|   unknown|       L29|          |          |
     Label|   unknown|       L23|          |          |
   L_Alloc|       int|       %28|          |          |
       ADD|       int|       %28|        ^3|        #1|
    ASSIGN|       int|        ^3|       %28|          |
         J|   unknown|        L4|          |          |
     Label|   unknown|        L5|          |          |
   L_Alloc|       int|       %29|          |          |
       ADD|       int|       %29|        ^1|        #1|
    ASSIGN|       int|        ^1|       %29|          |
         J|   unknown|        L0|          |          |
     Label|   unknown|        L1|          |          |
    Return|       int|        ^2|          |          |
  Func End|   unknown|lenLongestFibSubseq|          |          |
Func Begin|   unknown|      main|          |          |
   L_Alloc|       int|        ^9|          |          |
   L_Alloc|       int|       ^10|          |          |
   L_Alloc|       int|       %30|          |          |
      Call|       int|   get_int|       %30|          |
    ASSIGN|       int|        ^9|       %30|          |
     Param|       int|        ^9|          |          |
   L_Alloc|       int|       %31|          |          |
      Call|       int|lenLongestFibSubseq|       %31|          |
    ASSIGN|       int|       ^10|       %31|          |
     Param|       int|       ^10|          |          |
      Call|      void| print_int|          |          |
    Return|       int|        #0|          |          |
  Func End|   unknown|      main|          |          |
