      IRop|    Basety|    result|      arg1|      arg2|
   L_Alloc|       int|       %14|          |          |
       SUB|       int|       %14|        ^8|        #1|
    ASSIGN|       int|        ^6|       %14|          |
     Label|   unknown|       L19|          |          |
       BLE|       int|       L13|        ^5|        ^6|
       BGE|       int|       L24|        ^7|        #0|
         J|   unknown|       L23|          |          |
     Label|   unknown|       L24|          |          |
   L_Alloc|       int|       %15|          |          |
       SLL|       int|       %15|        ^1|       #10|
   L_Alloc|       int|       %16|          |          |
       SLL|       int|       %16|        ^3|        #2|
   L_Alloc|       int|       %17|          |          |
       ADD|       int|       %17|       %15|       %16|
   L_Alloc|       int|       %18|          |          |
       SLL|       int|       %18|        ^7|       #10|
   L_Alloc|       int|       %19|          |          |
       SLL|       int|       %19|        ^1|        #2|
   L_Alloc|       int|       %20|          |          |
       ADD|       int|       %20|       %18|       %19|
   L_Alloc|       int|       %21|          |          |
       ADD|       int|       %21|    @0<%20|        #1|
    ASSIGN|       int|    @0<%17|       %21|          |
   L_Alloc|       int|       %22|          |          |
   L_Alloc|       int|       %23|          |          |
   L_Alloc|       int|       %24|          |          |
    ASSIGN|       int|       %24|       %17|          |
       BLT|       int|       L27|    @0<%24|        #3|
         J|   unknown|       L26|          |          |
     Label|   unknown|       L27|          |          |
   L_Alloc|       int|       %25|          |          |
       SLL|       int|       %25|        ^1|       #10|
   L_Alloc|       int|       %26|          |          |
       SLL|       int|       %26|        ^3|        #2|
   L_Alloc|       int|       %27|          |          |
       ADD|       int|       %27|       %25|       %26|
    ASSIGN|       int|    @0<%27|        #3|          |
     Label|   unknown|       L26|          |          |
   L_Alloc|       int|       %28|          |          |
       SLL|       int|       %28|        ^1|       #10|
   L_Alloc|       int|       %29|          |          |
       SLL|       int|       %29|        ^3|        #2|
   L_Alloc|       int|       %30|          |          |
       ADD|       int|       %30|       %28|       %29|
       BGT|       int|       L30|    @0<%30|        ^2|
         J|   unknown|       L29|          |          |
     Label|   unknown|       L30|          |          |
   L_Alloc|       int|       %31|          |          |
       SLL|       int|       %31|        ^1|       #10|
   L_Alloc|       int|       %32|          |          |
       SLL|       int|       %32|        ^3|        #2|
   L_Alloc|       int|       %33|          |          |
       ADD|       int|       %33|       %31|       %32|
    ASSIGN|       int|        ^2|    @0<%33|          |
     Label|   unknown|       L29|          |          |
     Label|   unknown|       L23|          |          |
   L_Alloc|       int|       %34|          |          |
       ADD|       int|       %34|        ^3|        #1|
    ASSIGN|       int|        ^3|       %34|          |
       BLT|       int|        L6|        ^3|        ^0|
         J|   unknown|        L5|          |          |
     Label|   unknown|        L5|          |          |
   L_Alloc|       int|       %35|          |          |
       ADD|       int|       %35|        ^1|        #1|
    ASSIGN|       int|        ^1|       %35|          |
       BLT|       int|        L2|        ^1|        ^0|
         J|   unknown|        L1|          |          |
     Label|   unknown|        L1|          |          |
    Return|       int|        ^2|          |          |
  Func End|   unknown|lenLongestFibSubseq|          |          |
Func Begin|   unknown|      main|          |          |
   L_Alloc|       int|        ^9|          |          |
   L_Alloc|       int|       ^10|          |          |
   L_Alloc|       int|       %36|          |          |
      Call|       int|   get_int|       %36|          |
    ASSIGN|       int|        ^9|       %36|          |
     Param|       int|        ^9|          |          |
   L_Alloc|       int|       %37|          |          |
      Call|       int|lenLongestFibSubseq|       %37|          |
    ASSIGN|       int|       ^10|       %37|          |
     Param|       int|       ^10|          |          |
      Call|      void| print_int|          |          |
    Return|       int|        #0|          |          |
  Func End|   unknown|      main|          |          |
